Name,Url 
Johnson & Johnson,https://www.jnjcanada.com
Pfizer Canada Inc.,https://www.pfizer.ca/en
Roche Canada Ltd.,https://www.rochecanada.com
Novartis Pharmaceuticals Canada Inc.,https://www.novartis.ca/en
Merck Canada Inc.,https://www.merck.ca/en/
Sanofi Canada Inc.,https://www.sanofi.ca/en/
Gilead Sciences Canada Inc.,https://www.gilead.ca
AstraZeneca Canada Inc.,https://www.astrazeneca.ca/en
Bristol-Myers Squibb Canada Co.,https://www.bms.com/ca/en
AbbVie Corporation,https://www.abbvie.ca
GlaxoSmithKline Inc.,https://ca.gsk.com/en-ca/home/
Eli Lilly Canada Inc.,https://www.lilly.ca/en-CA/
Biogen Canada Inc.,https://www.biogen.ca
Takeda Canada Inc.,https://www.takeda.com/en-ca/
Amgen Canada Inc.,https://www.amgen.ca/
Valeant Pharmaceuticals International Inc.,https://www.bauschhealth.com/
Genzyme Canada Corp.,https://www.sanofi.ca/
Alexion Pharmaceuticals Inc.,https://alexion.com/
Bayer Inc.,https://www.bayer.com/en/ca/canada-home
Mylan N.V.,https://www.viatris.com/en
Baxalta Canada Corp.,https://www.takeda.com/
Novo Nordisk Canada Inc.,https://www.novonordisk.ca/
Sanofi Pasteur Ltd.,https://www.sanofi.ca/en/
CSL Behring Canada Inc.,https://www.cslbehring.ca/
Teva Canada Limited,https://www.tevacanada.com/en/canada/
Shire Canada ULC,https://www.takeda.com/en-ca/shirelanding/
Pfizer Animal Health,https://www.pfizer.com/content/animal-health
Merck Animal Health,https://www.merck-animal-health.com/
Elanco Canada Limited,https://www.elanco.com/en-ca
BD Medical - Pharmaceutical Systems,https://drugdeliverysystems.bd.com/
Baxter Corporation,Baxter Corporation
Medtronic of Canada Ltd.,https://www.medtronic.com/ca-en/index.html
Edwards Lifesciences Canada Ltd.,https://www.edwards.com/
Stryker Canada,https://www.stryker.com/ca/en/
GE Healthcare,https://www.gehealthcare.com/
Olympus Canada Inc.,https://medical.olympuscanada.com/
Philips Healthcare,https://www.philips.ca/healthcare
Siemens Healthineers,https://www.siemens-healthineers.com/
Hologic Inc.,https://www.hologic.com/
3M Canada Company,https://www.3mcanada.ca/3M/en_CA/company-ca/
Covidien Canada Inc.,https://www.medtronic.com/covidien/en-ca/index.html
"Becton, Dickinson and Company",https://www.bd.com/en-us
Cardinal Health Canada Inc.,https://www.cardinalhealth.ca/en/
Medline Canada,https://www.medline.ca/
Hill-Rom Canada Ltd.,https://www.hillrom.com/
Smith & Nephew Inc.,https://www.smith-nephew.com/
ArjoHuntleigh Inc.,https://www.arjo.com/int/
McKesson Canada Corp.,https://www.mckesson.ca/