Name,URL
Johnson & Johnson,https://www.jnjcanada.com
Pfizer Canada Inc.,https://www.pfizer.ca/en
Roche Canada Ltd.,https://www.rochecanada.com
Novartis Pharmaceuticals Canada Inc.,https://www.novartis.ca/en
Merck Canada Inc.,https://www.merck.ca/en/
Sanofi Canada Inc.,https://www.sanofi.ca/en/
Gilead Sciences Canada Inc.,https://www.gilead.ca
AstraZeneca Canada Inc.,https://www.astrazeneca.ca/en
Bristol-Myers Squibb Canada Co.,https://www.bms.com/ca/en
AbbVie Corporation,https://www.abbvie.ca
GlaxoSmithKline Inc.,https://ca.gsk.com/en-ca/home/
Eli Lilly Canada Inc.,https://www.lilly.ca/en-CA/
Biogen Canada Inc.,https://www.biogen.ca
Takeda Canada Inc.,https://www.takeda.com/en-ca/